name,countryID,regionID,cost,currency,temperature,humidity,internetSpeed
Bangkok,45,1,1380,USD,302.038888888889,78,20
Chiang Mai,45,1,654,USD,299.816666666667,83,20
Pattaya,45,1,1183,USD,301.483333333333,88,20
Phuket,45,1,1040,USD,302.038888888889,74,20
Hoi An,49,1,1083,USD,299.261111111111,83,20
Prague,11,2,1191,USD,292.038888888889,77,40
Phnom Penh,26,1,936,USD,301.483333333333,78,10
Sofia,4,2,1490,USD,296.483333333333,69,40
Riga,28,2,1417,USD,286.483333333333,82,40
Ho Chi Minh City,49,1,1329,USD,296.483333333333,97,20
Penang,30,1,1065,USD,301.483333333333,83,10
Budapest,20,2,2166,USD,298.15,53,30
Kuala Lumpur,30,1,1206,USD,299.261111111111,83,10
Brasov,38,2,1824,USD,294.261111111111,57,80
Bratislava,44,2,1551,USD,294.261111111111,82,20
Kosice,44,2,1466,USD,292.038888888889,72,30
Belgrade,39,2,1358,USD,293.15,93,10
Wroclaw,36,2,1764,USD,294.261111111111,68,20
Davao,35,1,1054,USD,294.816666666667,100,5
Timisoara,38,2,1999,USD,294.261111111111,94,60
Ubud,21,1,1185,USD,298.15,83,5
Ljubljana,43,2,2162,USD,293.15,77,20
Warsaw,36,2,1987,USD,291.483333333333,63,30
Zagreb,19,2,1539,USD,295.372222222222,82,10
Shanghai,9,3,1656,USD,298.15,83,20
San Juan,48,4,2164,USD,297.038888888889,94,10
Cochabamba,5,5,829,USD,297.038888888889,25,5
Taipei,46,3,2137,USD,304.816666666667,69,40
Montreal,7,6,2305,USD,297.594444444444,57,20
Las Vegas,48,6,2148,USD,307.594444444444,20,40
Lima,34,5,1099,USD,292.038888888889,72,10
Curitiba,6,5,2145,USD,299.816666666667,60,30
Siem Reap,26,1,1045,USD,299.261111111111,78,10
Austin,48,6,2541,USD,299.261111111111,73,60
Beijing,9,3,1565,USD,300.927777777778,93,30
Cairo,15,7,917,USD,305.372222222222,38,5
Dallas,48,6,2265,USD,306.483333333333,55,20
Park City,48,6,2862,USD,302.038888888889,21,40
Lisbon,37,2,2455,USD,300.372222222222,64,30
Santa Monica,48,6,2601,USD,302.038888888889,69,40
Singapore,42,1,2678,USD,298.15,94,80
Medellin,10,5,1296,USD,294.261111111111,52,10
Toronto,7,6,2825,USD,300.372222222222,69,20
Tokyo,25,3,2392,USD,298.15,83,30
Porto,37,2,2686,USD,299.261111111111,99,30
Tucson,48,6,2882,USD,309.816666666667,31,30
Palawan,35,1,1255,USD,295.927777777778,96,5
Hong Kong,18,3,2634,USD,304.816666666667,79,90
Playa del Carmen,29,6,1887,USD,303.705555555556,70,10
Manchester,47,2,2641,USD,294.261111111111,64,30
Tel Aviv,23,2,2519,USD,301.483333333333,61,20
Bucharest,38,2,2064,USD,295.372222222222,77,80
Vancouver,7,6,2843,USD,292.594444444445,87,40
Bordeaux,17,2,3077,USD,300.927777777778,36,30
Buenos Aires,2,5,1724,USD,291.483333333333,88,10
Detroit,48,6,2301,USD,300.372222222222,44,30
Seoul,27,3,2934,USD,293.15,82,60
Cebu,35,1,1808,USD,299.261111111111,88,5
Tallinn,14,2,3161,USD,289.261111111111,82,40
Boulder,48,6,3070,USD,307.594444444444,20,20
Salzburg,3,2,2748,USD,290.927777777778,82,20
Madrid,16,2,2798,USD,308.15,17,30
Vienna,3,2,3096,USD,292.594444444445,82,20
Manila,35,1,1371,USD,298.15,100,5
Dubai,1,8,3233,USD,309.261111111111,37,30
Recife,6,5,1994,USD,299.261111111111,97,20
Saint Petersburg,40,2,2124,USD,289.261111111111,63,20
Orlando,48,6,2436,USD,306.483333333333,55,20
Seattle,48,6,3254,USD,292.038888888889,72,30
Salt Lake City,48,6,3729,USD,301.483333333333,20,30
Berlin,12,2,3508,USD,293.705555555556,49,30
Wellington,33,9,3539,USD,284.261111111111,87,30
Cambridge,47,2,3270,USD,295.372222222222,49,30
Portland,48,6,3266,USD,289.816666666667,62,20
Granada,16,2,2855,USD,301.483333333333,25,30
Barcelona,16,2,3431,USD,298.15,60,30
Dublin,22,2,3214,USD,290.372222222222,82,30
Auckland,33,9,2869,USD,284.816666666667,100,20
Stockholm,41,2,3714,USD,295.372222222222,68,50
Denver,48,6,3229,USD,307.594444444444,20,30
Basel,8,2,3795,USD,291.483333333333,82,40
Amsterdam,31,2,3772,USD,293.705555555556,68,40
Johannesburg,50,7,2072,USD,293.15,12,10
Lyon,17,2,3680,USD,295.372222222222,49,50
Rome,24,2,3250,USD,297.038888888889,88,10
Copenhagen,13,2,3514,USD,292.038888888889,77,40
Los Angeles,48,6,4178,USD,301.483333333333,73,30
Cape Town,50,7,2564,USD,288.705555555556,84,10
Rotterdam,31,2,3736,USD,293.15,63,50
Oslo,32,2,4294,USD,293.15,59,30
Columbus,48,6,4208,USD,301.483333333333,65,20
Dusseldorf,12,2,3910,USD,295.927777777778,68,30
Philadelphia,48,6,4358,USD,303.15,45,30
Minneapolis,48,6,3724,USD,293.15,82,20
New York City,48,6,4674,USD,302.038888888889,35,40
Chicago,48,6,3911,USD,300.927777777778,50,30
Paris,17,2,4656,USD,296.483333333333,49,70
Miami,48,6,4119,USD,304.261111111111,74,30
San Francisco,48,6,4854,USD,295.372222222222,82,30
London,47,2,4504,USD,295.372222222222,60,30
